Model,DeltaQAICc,weight,npar,QDeviance
S(~AGE * BCI + AGE * NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),0,0.160627464,32,4961.380639
S(~AGE * BCI + AGE * NAO + SEX)p(~TIME)r(~AGE2)F(~SEX),0.116748326,0.151519394,30,4965.575134
S(~AGE * BCI + AGE * NAO)p(~TIME + AGE)r(~AGE2)F(~1),1.466253445,0.077166164,30,4966.924639
S(~AGE * BCI + AGE * NAO)p(~TIME)r(~AGE2)F(~1),1.674995318,0.069518308,28,4971.206124
S(~AGE * BCI + AGE * NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~1),2.649682084,0.042702043,31,4966.06982
S(~AGE * BCI + AGE * NAO + SEX)p(~TIME)r(~AGE2)F(~1),2.801862575,0.039573374,29,4970.297244
S(~AGE * BCI + AGE * NAO)p(~TIME + AGE)r(~AGE2)F(~SEX),3.248906262,0.031646725,31,4966.669045
S(~AGE + BCI + NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),3.367191013,0.029829335,26,4976.966068
S(~AGE * BCI + AGE * NAO)p(~TIME)r(~AGE2)F(~SEX),3.39257441,0.029453142,29,4970.887956
S(~AGE + BCI + NAO + EKTO + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),4.142929602,0.020239234,27,4975.708556
S(~AGE + BCI + NAO + EKTO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),4.72502772,0.015128402,28,4974.256156
S(~AGE + BCI + NAO)p(~TIME + AGE)r(~AGE2)F(~1),4.874710708,0.014037502,24,4982.536352
S(~AGE + BCI + NAO + SEX)p(~TIME)r(~AGE2)F(~SEX),4.90913343,0.013797964,24,4982.570774
S(~AGE * NAO + SEX)p(~TIME)r(~AGE2)F(~SEX),5.476534792,0.010389757,26,822.0112481
S(~AGE + BCI + NAO + EKTO + SEX)p(~TIME)r(~AGE2)F(~SEX),5.523110246,0.010150599,25,4981.153992
S(~AGE * BCI + AGE * NAO)p(~TIME)r(~AGE2)F(~AGE),5.650283158,0.00952525,31,4969.070422
S(~AGE + BCI + NAO + EKTO)p(~TIME + AGE)r(~AGE2)F(~1),5.79938806,0.008840945,25,4981.43027
S(~AGE * BCI + AGE * NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),5.908209432,0.008372756,35,4961.162828
S(~AGE + BCI + NAO + EKTO + MORPH + SEX)p(~TIME)r(~AGE2)F(~SEX),5.921043394,0.0083192,26,4979.519921
S(~AGE * BCI + AGE * NAO + AGE * EKTO + SEX)p(~TIME)r(~AGE2)F(~SEX),5.99131586,0.00803197,34,4963.289196
S(~AGE * BCI + AGE * NAO + AGE * ENDO + SEX)p(~TIME)r(~AGE2)F(~SEX),6.010207289,0.00795646,34,4963.308088
S(~AGE * BCI + AGE * NAO + AGE * ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),6.072172208,0.007713729,36,4959.282272
S(~AGE + BCI + NAO + EKTO + MORPH)p(~TIME + AGE)r(~AGE2)F(~1),6.097711856,0.007615852,26,4979.696589
S(~AGE * BCI + AGE * NAO + AGE * EKTO + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),6.161551814,0.007376593,36,4959.371652
S(~AGE + BCI + NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~1),6.183563561,0.007295852,25,4981.814445
S(~AGE * NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),6.221781447,0.00715776,28,818.6886714
S(~AGE * BCI + AGE * NAO)p(~TIME + AGE)r(~AGE2)F(~AGE),6.307377764,0.006857884,33,4965.647265
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH + SEX)p(~TIME)r(~AGE2)F(~SEX),6.452850075,0.006376777,35,4961.707468
S(~AGE + BCI + NAO)p(~TIME)r(~AGE2)F(~1),6.489503692,0.006260975,22,4988.208932
