Model,DeltaQAICc,weight,npar,QDeviance
S(~AGE * BCI + AGE * NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),0,0.165064921,32,4961.380639
S(~AGE * BCI + AGE * NAO + SEX)p(~TIME)r(~AGE2)F(~SEX),0.116748326,0.155705234,30,4965.575134
S(~AGE * BCI + AGE * NAO)p(~TIME + AGE)r(~AGE2)F(~1),1.466253445,0.079297938,30,4966.924639
S(~AGE * BCI + AGE * NAO)p(~TIME)r(~AGE2)F(~1),1.674995318,0.071438804,28,4971.206124
S(~AGE * BCI + AGE * NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~1),2.649682084,0.043881719,31,4966.06982
S(~AGE * BCI + AGE * NAO + SEX)p(~TIME)r(~AGE2)F(~1),2.801862575,0.040666618,29,4970.297244
S(~AGE * BCI + AGE * NAO)p(~TIME + AGE)r(~AGE2)F(~SEX),3.248906262,0.03252099,31,4966.669045
S(~AGE + BCI + NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),3.367191013,0.030653393,26,4976.966068
S(~AGE * BCI + AGE * NAO)p(~TIME)r(~AGE2)F(~SEX),3.39257441,0.030266807,29,4970.887956
S(~AGE + BCI + NAO + EKTO + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),4.142929602,0.020798358,27,4975.708556
S(~AGE + BCI + NAO + EKTO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),4.72502772,0.015546336,28,4974.256156
S(~AGE + BCI + NAO)p(~TIME + AGE)r(~AGE2)F(~1),4.874710708,0.014425298,24,4982.536352
S(~AGE + BCI + NAO + SEX)p(~TIME)r(~AGE2)F(~SEX),4.90913343,0.014179144,24,4982.570774
S(~AGE * NAO + SEX)p(~TIME)r(~AGE2)F(~SEX),5.476534792,0.010676782,26,822.0112481
S(~AGE + BCI + NAO + EKTO + SEX)p(~TIME)r(~AGE2)F(~SEX),5.523110246,0.010431017,25,4981.153992
S(~AGE * BCI + AGE * NAO)p(~TIME)r(~AGE2)F(~AGE),5.650283158,0.009788393,31,4969.070422
S(~AGE + BCI + NAO + EKTO)p(~TIME + AGE)r(~AGE2)F(~1),5.79938806,0.009085183,25,4981.43027
S(~AGE * BCI + AGE * NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),5.908209432,0.00860406,35,4961.162828
S(~AGE + BCI + NAO + EKTO + MORPH + SEX)p(~TIME)r(~AGE2)F(~SEX),5.921043394,0.008549024,26,4979.519921
S(~AGE * BCI + AGE * NAO + AGE * EKTO + SEX)p(~TIME)r(~AGE2)F(~SEX),5.99131586,0.00825386,34,4963.289196
S(~AGE * BCI + AGE * NAO + AGE * ENDO + SEX)p(~TIME)r(~AGE2)F(~SEX),6.010207289,0.008176263,34,4963.308088
S(~AGE * BCI + AGE * NAO + AGE * ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),6.072172208,0.007926826,36,4959.282272
S(~AGE + BCI + NAO + EKTO + MORPH)p(~TIME + AGE)r(~AGE2)F(~1),6.097711856,0.007826246,26,4979.696589
S(~AGE * BCI + AGE * NAO + AGE * EKTO + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),6.161551814,0.007580377,36,4959.371652
S(~AGE + BCI + NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~1),6.183563561,0.007497406,25,4981.814445
S(~AGE * NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),6.221781447,0.007355499,28,818.6886714
S(~AGE * BCI + AGE * NAO)p(~TIME + AGE)r(~AGE2)F(~AGE),6.307377764,0.007047338,33,4965.647265
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH + SEX)p(~TIME)r(~AGE2)F(~SEX),6.452850075,0.00655294,35,4961.707468
S(~AGE + BCI + NAO)p(~TIME)r(~AGE2)F(~1),6.489503692,0.006433939,22,4988.208932
S(~AGE + BCI + NAO)p(~TIME + AGE)r(~AGE2)F(~SEX),6.633448381,0.005987145,25,4982.26433
S(~AGE * BCI + AGE * NAO + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),6.634206952,0.005984875,33,4965.974094
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),6.758832905,0.005623321,29,4974.254215
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),6.840350424,0.005398729,37,4958.004674
S(~AGE * BCI + AGE * NAO + SEX)p(~TIME)r(~AGE2)F(~AGE),6.889099308,0.005268729,32,4968.269739
S(~AGE * NAO)p(~TIME)r(~AGE2)F(~1),7.019597254,0.004935926,24,827.6169996
S(~AGE + BCI + NAO + EKTO + SEX)p(~TIME + AGE)r(~AGE2)F(~1),7.128377443,0.004674631,26,4980.727255
S(~AGE + BCI + NAO + EKTO)p(~TIME)r(~AGE2)F(~1),7.184922457,0.004544318,23,4986.876079
S(~AGE * BCI + AGE * NAO)p(~TIME)r(~AGE2)F(~AGE + SEX),7.191810189,0.004528695,32,4968.572449
S(~AGE + BCI + NAO + EKTO + MORPH)p(~TIME)r(~AGE2)F(~1),7.208735552,0.004490532,24,4984.870376
S(~AGE * BCI + AGE * NAO + AGE * ENDO)p(~TIME + AGE)r(~AGE2)F(~1),7.347167902,0.004190227,34,4964.645048
S(~AGE * BCI + AGE * NAO + AGE * ENDO)p(~TIME)r(~AGE2)F(~1),7.487726129,0.003905851,32,4968.868365
S(~AGE + BCI + NAO + EKTO)p(~TIME + AGE)r(~AGE2)F(~SEX),7.533236446,0.003817977,26,4981.132114
S(~AGE + BCI + NAO + EKTO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~1),7.546672276,0.003792414,27,4979.112299
S(~AGE * BCI + AGE * NAO)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),7.630315327,0.00363708,34,4964.928196
S(~AGE + BCI + NAO + SEX)p(~TIME)r(~AGE2)F(~1),7.695140377,0.003521083,23,4987.386297
S(~AGE * NAO)p(~TIME + AGE)r(~AGE2)F(~1),7.785246614,0.003365968,26,824.3198852
S(~AGE + BCI + NAO + EKTO + MORPH)p(~TIME + AGE)r(~AGE2)F(~SEX),7.789348734,0.003359071,27,4979.354975
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~TIME)r(~AGE2)F(~1),7.875709784,0.003217112,32,4969.256349
S(~AGE * BCI + AGE * NAO + AGE * EKTO)p(~TIME + AGE)r(~AGE2)F(~1),7.882549504,0.003206128,34,4965.18043
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~SEX),7.900830566,0.003176956,27,4979.466457
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~TIME)r(~AGE2)F(~1),8.037100892,0.002967703,33,4967.376988
S(~AGE + BCI + NAO + EKTO + ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~1),8.128498419,0.002835135,27,4979.694125
S(~AGE + BCI + NAO)p(~TIME)r(~AGE2)F(~SEX),8.240527717,0.002680692,23,4987.931684
S(~AGE * BCI + AGE * NAO + AGE * EKTO + MORPH)p(~TIME + AGE)r(~AGE2)F(~1),8.284646654,0.002622205,35,4963.539265
S(~AGE * BCI + AGE * NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE),8.331762297,0.002561153,34,4965.629643
S(~AGE + BCI + NAO + EKTO + SEX)p(~TIME)r(~AGE2)F(~1),8.380900182,0.002498995,24,4986.042541
S(~AGE * NAO)p(~TIME)r(~AGE2)F(~SEX),8.437617179,0.002429123,25,827.0042602
S(~AGE * NAO + SEX)p(~TIME)r(~AGE2)F(~1),8.4653943,0.002395619,25,827.0320373
S(~AGE + BCI + NAO + EKTO + MORPH + SEX)p(~TIME)r(~AGE2)F(~1),8.524532686,0.00232582,25,4984.155414
S(~AGE * BCI + AGE * NAO + AGE * ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~1),8.528816506,0.002320843,35,4963.783435
