model,DeltaQAICc,weight,npar,QDeviance
Phi(AgeClass3 + Time + Juvenile:Body condition)p(time),0,0.3998737679208356,29,4112.927256136718
Phi(AgeClass3 + NAO + Time + Juvenile:Body condition)p(time),2.038852905900967,0.14427518229975056,30,4112.927256136718
Phi(AgeClass3 + Time + Body condition)p(time),3.1442888463961935,0.0830136036617809,29,4116.071544983114
Phi(AgeClass3 + Time + Juvenile:Body condition)p(1),3.5176002903936023,0.06887882297400619,17,4140.8090177891545
Phi(AgeClass3 * Body condition + Time)p(time),3.587251005089456,0.06652138098514741,31,4112.435486789125
Phi(AgeClass3 * NAO + Time + Juvenile:Body condition)p(time),4.01213684150207,0.053789619171804526,32,4110.81888936615
Phi(AgeClass3 + NAO + Time + Body condition)p(time),5.183141752297161,0.029951459091544532,30,4116.071544983114
Phi(AgeClass3 + NAO + Time + Juvenile:Body condition)p(1),5.540777306653581,0.025047155389500135,18,4140.8090177891545
Phi(AgeClass3 * Body condition + Time + NAO)p(time),5.628734264477316,0.023969490317387335,32,4112.435486789125
Phi(AgeClass3 + Time + Body condition)p(1),6.120565625511517,0.018743857605051553,17,4143.411983124272
Phi(AgeClass3 * Body condition + Time)p(1),7.318340250154506,0.010298299577327063,19,4140.562104309192
Phi(AgeClass3 + NAO + Time + Body condition)p(1),8.143742641771496,0.006816032762487314,18,4143.411983124272
Phi(AgeClass3 + Time)p(time),8.61454794524252,0.005386387537145059,28,1246.2570384113912
Phi(AgeClass3 * NAO + Time + Juvenile:Body condition)p(1),8.631068925822547,0.005342076602185564,20,4139.849055901954
Phi(AgeClass3 + Time + Juvenile:Hatch date)p(time),8.774430592622593,0.004972554146080384,29,4121.7016867293405
Phi(AgeClass3 * NAO + Juvenile:Body condition)p(Time),8.956514609828446,0.0045398392874651545,20,4140.17450158596
Phi(AgeClass3 + NAO + Juvenile:Body condition)p(Time),9.313495253094516,0.0037977215338864906,18,4144.581735735595
Phi(AgeClass3 * Body condition + Time + NAO)p(1),9.3441173330611491,0.003740017350450573,20,4140.562104309192
Phi(AgeClass3 + Time + Juvenile:Nestling age)p(time),10.130397120083217,0.00252426607487972,29,4123.057653256801
Phi(AgeClass3 + Time + Juvenile:Nestling age:Leucocytozoon)p(time),10.186054672341015,0.002454987282364943,30,4121.074457903158
Phi(AgeClass3 + Time + Leucocytozoon)p(time),10.430036916079189,0.002173047280192621,29,1246.0350734809665
Phi(AgeClass3 + Time)p(1),10.439819306956451,0.002162444432685846,16,1272.4308960935743
Phi(AgeClass3 + Time + Juvenile:Rank)p(time),10.519885987953785,0.0020775845048201617,29,4123.447142124672
Phi(AgeClass3 + Time + Sex)p(time),10.601333142803014,0.001994677425326465,29,1246.2063697076906
Phi(AgeClass3 + NAO + Time)p(time),10.65200184650439,0.001944778315274537,29,1246.2570384113912
Phi(AgeClass3 + NAO + Time + Juvenile:Hatch date)p(time),10.81328349852356,0.0017941065743106136,30,4121.7016867293405
Phi(AgeClass3 + Time + Juvenile:Nestling age:Leucocytozoon)p(1),10.998679753837678,0.001635271818184369,18,4146.266920236339
Phi(AgeClass3 + Time + Juvenile:Hatch date)p(1),11.016482704239024,0.0016207800812560096,17,4148.307900203
Phi(AgeClass3 + Time + Morph)p(time),11.431167335359532,0.001317275053433748,30,1244.9973509943468
Phi(AgeClass3 + Time + Juvenile:Leucocytozoon)p(time),11.589860686544853,0.0012167928353430358,30,1245.1559586116837
Phi(AgeClass3 + Time + Juvenile:Nestling age)p(1),11.983560500758358,9.993688659739016e-4,17,4149.274977999519
Phi(AgeClass3 + Time + Leucocytozoon)p(1),12.051375973900576,9.660505955010499e-4,17,1272.0205739008313
Phi(AgeClass3 + NAO + Time + Juvenile:Nestling age)p(time),12.169250025984184,9.107597880700368e-4,30,4123.057653256801
Phi(AgeClass3 + NAO + Time + Juvenile:Nestling age:Leucocytozoon)p(time),12.226222119122212,8.851818786794006e-4,31,4121.074457903158
Phi(AgeClass3 + Time + Juvenile:Rank)p(1),12.259452021077777,8.705961314358677e-4,17,4149.550869519839
Phi(AgeClass3 + NAO + Body condition)p(Time),12.277828754198708,8.626334132624872e-4,18,4147.5460692367
Phi(AgeClass3 + Time + Sex)p(1),12.454410789631766,7.897360701871481e-4,17,1272.4236087165618
Phi(AgeClass3 + NAO + Time)p(1),12.461698166644055,7.868637540358423e-4,17,1272.4308960935743
Phi(AgeClass3 + NAO + Time + Leucocytozoon)p(time),12.468889821980156,7.840394085511395e-4,30,1246.0350734809665
Phi(AgeClass3 + NAO + Time + Juvenile:Rank)p(time),12.558653160008362,7.496283992523174e-4,30,4123.447056390825
Phi(AgeClass3 + NAO + Time + Sex)p(time),12.640186048703981,7.196832406999652e-4,30,1246.2063697076906
Phi(AgeClass3 + NAO + Time + Juvenile:Nestling age:Leucocytozoon)p(1),13.023156177300734,5.942654514113787e-4,19,4146.266920236339
Phi(AgeClass3 + NAO + Time + Juvenile:Hatch date)p(1),13.039659720499003,5.893818853836426e-4,18,4148.307900203
Phi(AgeClass3 * Body condition + NAO)p(Time),13.133553379707337,5.623517288817125e-4,20,4144.351540355839
Phi(AgeClass3 * NAO + Time)p(time),13.391945239625784,4.941956919384562e-4,31,1244.917961451831
Phi(AgeClass3 + NAO + Time + Morph)p(time),13.47133478214073,4.7496295191099e-4,31,1244.9973509943468
Phi(AgeClass3 + Time + Morph)p(1),13.495849521498712,4.6917669004627714e-4,18,1271.4418704321693
