model,DeltaQAICc,weight,npar,QDeviance
S(AgeClass3 + Time + Juvenile:Body condition)p(time)r(Ageclass2)F(1),0,0.45064472806935496,32,5700.76637460661
S(AgeClass3 + NAO + Time + Juvenile:Body condition)p(time)r(Ageclass2)F(1),2.037659658984012,0.16269047300840994,33,5700.76637460661
S(AgeClass3 + Time + Body condition)p(time)r(Ageclass2)F(1),2.653119635735493,0.11959600866131746,32,5703.4194942423455
S(AgeClass3 * Body condition + Time)p(time)r(Ageclass2)F(1),3.1193444088949036,0.09472775891321662,34,5699.809241936367
S(AgeClass3 + NAO + Time + Body condition)p(time)r(Ageclass2)F(1),4.690779294719505,0.04317620956620432,33,5703.4194942423455
S(AgeClass3 * Body condition + Time + NAO)p(time)r(Ageclass2)F(1),5.159320577227845,0.03415875758568505,35,5699.809241936367
S(AgeClass3 * NAO + Time + Juvenile:Body condition)p(time)r(Ageclass2)F(1),5.526089975589457,0.02843538438342779,35,5700.176011334728
S(AgeClass3 + Time + Juvenile:Nestling age:Leucocytozoon)p(time)r(Ageclass2)F(1),7.831295851838149,0.008980282678660056,33,5706.560010799464
S(AgeClass3 + Time)p(time)r(Ageclass2)F(1),7.9878414673830775,0.008304176265193176,31,1798.167479546592
S(AgeClass3 + Time + Juvenile:Hatch date)p(time)r(Ageclass2)F(1),8.579900493306013,0.006176359620760878,32,5709.346275099916
S(AgeClass3 + Time + Juvenile:Nestling age)p(time)r(Ageclass2)F(1),9.721103733507334,0.0034907877241685667,32,5710.487478340117
S(AgeClass3 + NAO + Time + Juvenile:Nestling age:Leucocytozoon)p(time)r(Ageclass2)F(1),9.870113271992523,0.0032401598027816192,34,5706.560010799464
S(AgeClass3 + Time + Leucocytozoon)p(time)r(Ageclass2)F(1),9.880825890857523,0.0032228509015653495,32,1798.0238753525166
S(AgeClass3 + Time + Juvenile:Rank)p(time)r(Ageclass2)F(1),9.963301851873439,0.003092650098776868,32,5710.7296764584835
S(AgeClass3 + Time + Sex)p(time)r(Ageclass2)F(1),9.988764804494167,0.003053525681576648,32,1798.1318999999999
S(AgeClass3 + NAO + Time)p(time)r(Ageclass2)F(1),10.024344351086256,0.002999684483250441,32,1798.167479546592
S(AgeClass3 + Time + Morph)p(time)r(Ageclass2)F(1),10.527968281956419,0.0023319274222093358,33,1796.6333580846308
S(AgeClass3 + NAO + Time + Juvenile:Hatch date)p(time)r(Ageclass2)F(1),10.617560152290025,0.002229771715019342,33,5709.346275099916
S(AgeClass3 + Time + Juvenile:Body condition)p(time)r(1)F(1),10.674740238918275,0.002166925119345497,31,5713.4776177292315
S(AgeClass3 + NAO + Juvenile:Body condition)p(Time)r(Ageclass2)F(1),10.831690262718439,0.0020033767965064496,20,5735.960033152129
S(AgeClass3 + Time + Juvenile:Leucocytozoon)p(time)r(Ageclass2)F(1),11.318434353224802,0.0015706069072930957,33,1797.4238241558994
S(AgeClass3 + NAO + Time + Juvenile:Nestling age)p(time)r(Ageclass2)F(1),11.758763392491346,0.0012602342169850734,33,5710.487478340117
S(AgeClass3 + NAO + Time + Leucocytozoon)p(time)r(Ageclass2)F(1),11.918485549841535,0.0011635044303248841,33,1798.0238753525166
S(AgeClass3 + NAO + Time + Juvenile:Rank)p(time)r(Ageclass2)F(1),12.00096151085745,0.001116499708262602,33,5710.7296764584835
S(AgeClass3 + NAO + Time + Sex)p(time)r(Ageclass2)F(1),12.026424463478179,0.0011023751228763448,33,1798.1318999999999
S(AgeClass3 + NAO + Time + Morph)p(time)r(Ageclass2)F(1),12.566785702110792,8.413785809217145e-4,34,1796.6333580846308
S(AgeClass3 + NAO + Time + Juvenile:Body condition)p(time)r(1)F(1),12.711243122621454,7.827497212590885e-4,32,5713.4776177292315
S(AgeClass3 + Time + Juvenile:Body condition)p(1)r(Ageclass2)F(1),12.940828637912091,6.978612120983744e-4,20,5738.069171527322
