"S","p","r","F","model","npar","QAICc","DeltaQAICc","weight","Neg2LnL","chat"
"~ageclass * cond + ageclass * djfm + Sex","~time + ageclass","~ageclass","~1","S(~ageclass * cond + ageclass * djfm + Sex)p(~time + ageclass)r(~ageclass)F(~1)",33,5031.1397107319,0,0.63,6648.55,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex","~time + ageclass","~ageclass","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + Sex)p(~time + ageclass)r(~ageclass)F(~Sex + ageclass)",37,5033.28965530329,2.15,0.21,6640.48,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Lprev","~time + ageclass","~ageclass","~1","S(~ageclass * cond + ageclass * djfm + ageclass * Lprev)p(~time + ageclass)r(~ageclass)F(~1)",36,5035.77774714344,4.64,0.06,6646.55,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex","~time + ageclass","~ageclass","~1","S(~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex)p(~time + ageclass)r(~ageclass)F(~1)",37,5037.79589579638,6.66,0.02,6646.51,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex","~time + ageclass","~ageclass","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + Sex)p(~time + ageclass)r(~ageclass)F(~Sex * ageclass)",40,5037.90299309587,6.76,0.02,6638.43,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex","~time + ageclass","~1","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + Sex)p(~time + ageclass)r(~1)F(~Sex + ageclass)",34,5038.89857731685,7.76,0.01,6656.21,1.33923167422218
"~ageclass * djfm + Sex","~time + ageclass","~ageclass","~Sex + ageclass","S(~ageclass * djfm + Sex)p(~time + ageclass)r(~ageclass)F(~Sex + ageclass)",33,5039.59157176377,8.45,0.01,6659.87,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex","~time + ageclass","~ageclass","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex)p(~time + ageclass)r(~ageclass)F(~Sex + ageclass)",41,5040.70506391437,9.57,0.01,6639.43,1.33923167422218
"~ageclass * cond + djfm + ageclass * Lprev","~time + ageclass","~1","~Sex + ageclass","S(~ageclass * cond + djfm + ageclass * Lprev)p(~time + ageclass)r(~1)F(~Sex + ageclass)",34,5041.01232660645,9.87,0,6659.04,1.33923167422218
"~ageclass * djfm + Sex","~time + ageclass","~ageclass","~1","S(~ageclass * djfm + Sex)p(~time + ageclass)r(~ageclass)F(~1)",29,5041.21459417727,10.07,0,6672.96,1.33923167422218
"~ageclass * cond + djfm + ageclass * Lprev","~time + ageclass","~ageclass","~1","S(~ageclass * cond + djfm + ageclass * Lprev)p(~time + ageclass)r(~ageclass)F(~1)",33,5041.65678576164,10.52,0,6662.63,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Lprev","~time + ageclass","~ageclass","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + ageclass * Lprev)p(~time + ageclass)r(~ageclass)F(~Sex + ageclass)",40,5041.82359929199,10.68,0,6643.68,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex","~time + ageclass","~1","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + Sex)p(~time + ageclass)r(~1)F(~Sex * ageclass)",37,5042.00704171575,10.87,0,6652.15,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex","~time + ageclass","~1","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex)p(~time + ageclass)r(~1)F(~Sex + ageclass)",38,5042.65999417169,11.52,0,6650.29,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Lprev","~time + ageclass","~1","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + ageclass * Lprev)p(~time + ageclass)r(~1)F(~Sex + ageclass)",37,5043.33153249218,12.19,0,6653.93,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto","~time + ageclass","~ageclass","~1","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto)p(~time + ageclass)r(~ageclass)F(~1)",42,5043.71135051974,12.57,0,6640.71,1.33923167422218
"~ageclass * djfm + Sex","~time + ageclass","~ageclass","~Sex * ageclass","S(~ageclass * djfm + Sex)p(~time + ageclass)r(~ageclass)F(~Sex * ageclass)",36,5043.77419779953,12.63,0,6657.26,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex","~time + ageclass","~ageclass","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex)p(~time + ageclass)r(~ageclass)F(~Sex * ageclass)",44,5045.00598200963,13.87,0,6636.94,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto","~time + ageclass","~ageclass","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto)p(~time + ageclass)r(~ageclass)F(~Sex + ageclass)",46,5045.201466706,14.06,0,6631.7,1.33923167422218
"~ageclass * djfm + ageclass * Hatch + Sex","~time + ageclass","~ageclass","~Sex + ageclass","S(~ageclass * djfm + ageclass * Hatch + Sex)p(~time + ageclass)r(~ageclass)F(~Sex + ageclass)",37,5045.73746423798,14.6,0,6657.15,1.33923167422218
"~ageclass * cond + djfm + ageclass * Lprev","~time + ageclass","~ageclass","~Sex + ageclass","S(~ageclass * cond + djfm + ageclass * Lprev)p(~time + ageclass)r(~ageclass)F(~Sex + ageclass)",37,5046.16450013551,15.02,0,6657.72,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex","~time + ageclass","~1","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + ageclass * Hatch + Sex)p(~time + ageclass)r(~1)F(~Sex * ageclass)",41,5046.28826519606,15.15,0,6646.91,1.33923167422218
"~ageclass * cond + djfm + ageclass * Lprev","~time + ageclass","~1","~Sex * ageclass","S(~ageclass * cond + djfm + ageclass * Lprev)p(~time + ageclass)r(~1)F(~Sex * ageclass)",37,5046.43831385054,15.3,0,6658.09,1.33923167422218
"~ageclass * djfm + ageclass * Hatch + Sex","~time + ageclass","~ageclass","~1","S(~ageclass * djfm + ageclass * Hatch + Sex)p(~time + ageclass)r(~ageclass)F(~1)",33,5046.92062482376,15.78,0,6669.68,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Lprev","~time + ageclass","~ageclass","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + ageclass * Lprev)p(~time + ageclass)r(~ageclass)F(~Sex * ageclass)",43,5047.56431200329,16.42,0,6643.12,1.33923167422218
"~ageclass * cond + ageclass * djfm + ageclass * Lprev","~time + ageclass","~1","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + ageclass * Lprev)p(~time + ageclass)r(~1)F(~Sex * ageclass)",40,5048.69216443801,17.55,0,6652.88,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto","~time + ageclass","~ageclass","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto)p(~time + ageclass)r(~ageclass)F(~Sex * ageclass)",49,5049.27425237874,18.13,0,6628.88,1.33923167422218
"~ageclass * djfm + ageclass * Hatch + Sex","~time + ageclass","~ageclass","~Sex * ageclass","S(~ageclass * djfm + ageclass * Hatch + Sex)p(~time + ageclass)r(~ageclass)F(~Sex * ageclass)",40,5050.27254820636,19.13,0,6654.99,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank","~time + ageclass","~ageclass","~1","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank)p(~time + ageclass)r(~ageclass)F(~1)",50,5050.63660720043,19.5,0,6627.94,1.33923167422218
"~ageclass * cond + djfm + ageclass * Lprev","~time + ageclass","~ageclass","~Sex * ageclass","S(~ageclass * cond + djfm + ageclass * Lprev)p(~time + ageclass)r(~ageclass)F(~Sex * ageclass)",40,5051.53386843385,20.39,0,6656.68,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto","~time + ageclass","~1","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto)p(~time + ageclass)r(~1)F(~Sex + ageclass)",43,5052.18718653588,21.05,0,6649.31,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank","~time + ageclass","~ageclass","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank)p(~time + ageclass)r(~ageclass)F(~Sex + ageclass)",54,5053.61339965766,22.47,0,6620.86,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto","~time + ageclass","~1","~Sex * ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto)p(~time + ageclass)r(~1)F(~Sex * ageclass)",46,5054.70116735144,23.56,0,6644.42,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank","~time + ageclass","~1","~Sex + ageclass","S(~ageclass * cond + ageclass * djfm + Sex + Morph + ageclass * Lprev + ageclass * Ekto + ageclass * ageclass * Hatch + ageclass * Rank)p(~time + ageclass)r(~1)F(~Sex + ageclass)",51,5057.07471294039,25.94,0,6633.8,1.33923167422218
"~ageclass * cond + ageclass * djfm + Sex","~time + ageclass","~1","~1","S(~ageclass * cond + ageclass * djfm + Sex)p(~time + ageclass)r(~1)F(~1)",30,5057.45779568437,26.32,0,6691.99,1.33923167422218
"~ageclass * djfm + Sex","~time + ageclass","~1","~Sex + ageclass","S(~ageclass * djfm + Sex)p(~time + ageclass)r(~1)F(~Sex + ageclass)",30,5058.67244736213,27.53,0,6693.62,1.33923167422218
"~ageclass * cond + Sex","~time + ageclass","~ageclass","~1","S(~ageclass * cond + Sex)p(~time + ageclass)r(~ageclass)F(~1)",29,5060.13596565298,29,0,6698.3,1.33923167422218
