"year" "annual" "djf" "djfm" "jja" "mam" "son"
1899 -0.59 -0.53 -0.69 0.21 -1.26 1.3
1900 -0.38 -1.24 -1.33 -0.66 -0.41 0.29
1901 -0.67 -0.29 -0.38 1.04 -0.29 -0.73
1902 -1.25 -0.76 -0.69 -2.17 -0.51 -0.87
1903 0.56 0.93 1.31 -2.1 1.01 -0.17
1904 0.71 -0.05 -0.02 -1.05 1.31 -0.43
1905 0.77 0.75 0.8 -0.04 0.55 -0.52
1906 0.24 0.84 0.81 -0.67 0.11 -0.6
1907 0.41 0.79 1.06 -1.91 0.28 -0.23
1908 0.68 0.49 0.53 -0.03 0.46 -0.6
1909 -1.09 0.16 -0.51 -0.14 -1.8 -0.71
1910 -0.2 0.23 0.42 -1.68 0.33 -2.02
1911 0.97 0.45 0.44 -0.52 0.95 0.15
1912 0.3 -0.88 -0.42 -1.42 1.3 -0.38
1913 1.8 0.7 1.38 0.74 2.21 0.6
1914 1.47 0.48 0.47 0.37 1.68 -0.16
1915 -2.12 -0.2 -0.69 -1.54 -1.15 -2.83
1916 -0.38 0.4 -0.22 -0.38 -1.51 0.36
1917 -0.68 -1.31 -1.18 -0.48 -1.61 1.8
1918 0.32 -0.05 0.01 -0.55 0.55 0.58
1919 -0.32 -0.97 -0.87 1.02 -0.12 -1.24
1920 1.3 1.13 1.55 0.9 0.96 -0.49
1921 1.41 0.07 0.67 0.21 1.76 -1
1922 0.73 0.53 0.58 0.61 0.18 -1.23
1923 0.74 0.42 0.35 -0.16 0.04 1.89
1924 -0.06 -0.06 -0.66 -0.07 -2.09 0.47
1925 0.24 1.37 1.06 0.59 0.27 -0.38
1926 -0.23 -0.63 -0.31 -0.31 -0.22 -0.1
1927 -0.04 0.35 0.47 -0.36 0.34 -0.44
1928 0.98 0.39 0.14 -0.98 -0.62 0.52
1929 0.21 -0.93 -0.63 -0.58 0.06 1.55
1930 0.17 0.56 0.41 -0.5 -0.31 0.33
1931 -0.62 -0.08 -0.69 -0.92 -1.29 -0.16
1932 -0.19 0.35 -0.12 -0.02 -1.23 1.21
1933 -0.46 -0.07 -0.12 1.03 -0.8 -1.45
1934 0.75 0.92 0.93 -0.4 0.94 0.44
1935 0.07 0.12 0.06 0.71 -1.26 1.43
1936 -0.37 -1.99 -1.92 0.45 -0.36 0.63
1937 -0.4 0.42 -0.15 1.31 -0.78 -0.42
1938 1.72 0.06 0.52 1.09 1.14 2.11
1939 -0.37 -0.24 -0.14 -0.02 0.2 -1.11
1940 -1.29 -1.95 -1.93 0.63 -1.33 0.6
1941 -1.09 -1.17 -1.23 0.73 -0.75 -1.64
1942 -0.71 -0.79 -1.1 0.29 -0.84 0.43
1943 1.05 0.48 0.6 -1.35 1.89 0.02
1944 0.11 0.77 0.49 -0.13 0.03 0.37
1945 -0.95 -0.39 -0.11 -0.41 0.17 -1.41
1946 0.59 -0.28 -0.28 0.93 0.35 -0.54
1947 -1.16 -1.8 -1.87 1.06 0.26 -0.48
1948 0.74 -0.42 0.24 -0.69 1.37 1.07
1949 0.95 1.31 0.99 0.15 0.51 -0.29
1950 0.14 0.37 0.46 -0.32 0.32 1.04
1951 -0.37 -0.46 -0.93 -0.18 -1.91 -0.13
1952 -1.44 0.64 -0.14 0.38 -1.59 -1.1
1953 0.85 -0.29 -0.04 0.74 -0.61 1.48
1954 0.66 0.24 0.12 -0.26 -0.36 1.96
1955 -1.84 -1 -1.24 1.81 -0.95 -0.93
1956 -0.08 -1.3 -1.05 -0.8 0.85 0.55
1957 -0.24 0.6 0.04 -0.69 -1.08 0.41
1958 -1.91 -0.52 -1.25 -2.33 -1.55 -0.36
1959 0.49 -0.19 0.08 0.44 0.58 -0.41
1960 -1.89 -1.62 -1.8 -0.83 -0.9 -1.34
1961 0.33 0.47 0.72 1.44 -0.29 0.67
1962 -0.55 0.05 -0.92 -0.58 -1.76 -0.21
1963 -1.12 -1.65 -1.3 -0.72 0.37 1.05
1964 0 -0.72 -0.9 0.6 0.07 0.1
1965 -1.08 -0.7 -0.82 0.03 -0.48 -1.1
1966 -1.84 -1.94 -1.55 0.11 -0.57 -0.58
1967 1.14 -0.02 0.6 1.65 1.21 1.86
1968 -1.71 -0.62 -0.16 -0.07 0.19 -2.69
1969 -1.83 -2.38 -2.57 0.4 -0.98 1.73
1970 -0.87 -1.1 -1.16 1.14 -0.5 0.36
1971 -0.38 -0.48 -0.67 0.05 -0.57 0.09
1972 0.96 -0.05 0.09 1.3 0.63 -0.05
1973 0.22 1.13 1.17 1.07 -0.3 -0.87
1974 0.68 0.49 0.35 -0.15 -0.02 0.28
1975 0.55 1.01 0.72 0.92 -0.62 0.42
1976 0.71 1.12 1.18 1.48 1.29 -0.95
1977 -0.74 -1.68 -1.34 -0.63 0.22 1.24
1978 -0.27 -1.09 -0.55 0.17 0.14 2.04
1979 -0.37 -2.03 -1.43 1.07 -0.32 0.39
1980 -1.07 -0.2 -0.37 -0.92 -0.75 -0.84
1981 -0.89 0.97 0.28 0.88 -0.97 -0.28
1982 1.46 -0.83 -0.22 -0.14 1.36 1.88
1983 0.45 1.37 1.26 2.11 -0.43 0.58
1984 0.82 1.05 0.39 1.07 -0.7 0.51
1985 -1.26 -1 -0.83 -0.46 -0.16 -0.62
1986 1.31 -0.91 -0.03 0.38 1.56 2.22
1987 -1.17 -0.51 -0.68 -1.06 0.15 -0.1
1988 0.12 -0.22 -0.17 0.7 -0.88 -0.3
1989 2.22 2.41 2.43 1.58 1.46 0.55
1990 2.49 1.25 1.91 0.67 2.37 -0.09
1991 0.97 0.92 0.53 0.73 0.09 0.67
1992 1.66 1.58 1.71 0.28 1.37 0.52
1993 0.67 1.79 1.72 -1.13 -0.04 -1.54
1994 1.33 0.27 0.86 2.04 1.46 -0.37
1995 -0.82 1.36 1.3 0.73 -0.76 -1.09
1996 -1.07 -1.38 -1.46 1.28 -1.18 0.06
1997 0.02 0.19 0.69 0.05 0.45 -0.98
1998 -0.28 -0.22 -0.02 -0.65 0.19 -1.03
1999 0.56 1.08 0.64 0.94 -0.47 0.53
2000 0.64 1.8 1.58 -0.05 0.19 0.59
2001 -0.57 -0.65 -1 -0.04 -0.79 0.64
2002 0.34 0.52 0.61 0.8 1.03 -1.96
2003 0.32 -0.34 0.03 -0.3 0.71 -0.12
2004 0.11 -0.39 -0.13 -0.3 0.92 0.08
2005 -0.73 1.02 0.34 0.56 -1.34 -0.02
2006 -0.25 -0.44 -0.91 1.09 -1.12 -0.03
2007 0.55 0.87 1.15 -1.11 1.41 -0.18
2008 0.1 1.11 1.04 -1.31 -1.06 1.17
2009 -0.75 -0.1 0.03 -2.05 1.21 0.51
2010 -3.64 -2.96 -2.55 -0.43 -1.31 -1.5
2011 1.12 -1.18 -0.69 -2.09 1.75 1.71
2012 -0.52 1.47 1.55 -1.58 0.31 0.32
2013 -0.17 -0.83 -1.68 1.68 -1.7 0.44
2014 0.53 0.61 0.91 -0.86 0.76 -0.92
2015 1.93 1.63 1.83 -1.63 2.22 0.45
2016 0.41 0.95 0.99 -0.69 0.32 -1.01
2017 0.36 0.74 0.86 0.37 -0.1 0.09
2018 0.76 0.51 -0.17 1.88 0.08 -0.22
2019 -0.66 0.16 0.74 -2.09 0.53 -0.85
2020 NA 1.82 1.78 NA 0.7 NA
