Ring,Date,Year,Month,Day,HatchDate,DaysSinceHatching,study_area,Dist2Nest
3144911,2007-08-25T00:00:00Z,2007,08,237,2007-05-03,114,FALSE,68.34507031705665
3143819,2007-09-26T00:00:00Z,2007,09,269,2007-05-06,143,TRUE,6.607368884578492
3144917,2007-10-17T00:00:00Z,2007,10,290,2007-05-09,161,FALSE,32.37192479837001
3143807,2007-10-20T00:00:00Z,2007,10,293,2007-05-05,168,FALSE,22.877007790577622
3143815,2007-10-29T00:00:00Z,2007,10,302,2007-04-29,183,FALSE,203.2366697610128
3143815,2008-04-21T00:00:00Z,2008,04,112,2007-04-29,358,FALSE,203.2366697610128
3144612,2007-11-07T00:00:00Z,2007,11,311,2007-05-14,177,TRUE,0.18833530883272162
3144612,2007-11-09T00:00:00Z,2007,11,313,2007-05-14,179,TRUE,0.18833530883272162
3144612,2008-07-28T00:00:00Z,2008,07,210,2007-05-14,441,FALSE,85.52791994352512
3143827,2007-11-14T00:00:00Z,2007,11,318,2007-05-07,191,FALSE,6.431829138891008
3143827,2008-03-27T00:00:00Z,2008,03,87,2007-05-07,325,FALSE,6.431829138891008
3144933,2007-12-08T00:00:00Z,2007,12,342,2007-05-14,208,FALSE,181.11870330235044
3144613,2007-12-15T00:00:00Z,2007,12,349,2007-05-17,212,FALSE,52.590052264446285
3144613,2008-12-28T00:00:00Z,2008,12,363,2007-05-17,591,FALSE,52.03891664536396
3144902,2007-12-15T00:00:00Z,2007,12,349,2007-05-12,217,TRUE,2.1032385749630884
3144902,2008-03-25T00:00:00Z,2008,03,85,2007-05-12,318,TRUE,2.1032385749630884
3143811,2008-01-13T00:00:00Z,2008,01,13,2007-05-04,254,TRUE,3.765618060152269
3143811,2008-04-15T00:00:00Z,2008,04,106,2007-05-04,347,TRUE,3.655550284782686
3144884,2008-01-13T00:00:00Z,2008,01,13,2007-05-04,254,TRUE,1.1408326245612777
3144871,2008-03-23T00:00:00Z,2008,03,83,2007-05-13,315,TRUE,10.295758099693542
3144858,2008-03-25T00:00:00Z,2008,03,85,2007-05-06,324,TRUE,6.218327104774547
3143809,2008-04-05T00:00:00Z,2008,04,96,2007-05-02,339,FALSE,33.957245484088375
3143809,2008-05-08T00:00:00Z,2008,05,129,2007-05-02,372,FALSE,33.957245484088375
3143801,2008-05-23T00:00:00Z,2008,05,144,2007-04-29,390,TRUE,10.558841026265501
3144916,2008-06-07T00:00:00Z,2008,06,159,2007-05-11,393,TRUE,8.53141597266962
3144658,2008-09-09T00:00:00Z,2008,09,253,2008-05-04,128,FALSE,62.2757358561565
3144696,2008-10-20T00:00:00Z,2008,10,294,2008-05-21,152,FALSE,58.1790887921397
3144696,2008-11-27T00:00:00Z,2008,11,332,2008-05-21,190,FALSE,58.1790887921397
3144654,2008-11-15T00:00:00Z,2008,11,320,2008-05-17,182,FALSE,180.06623224800092
3144650,2008-12-15T00:00:00Z,2008,12,350,2008-05-06,223,FALSE,98.46765937712505
3144650,2008-12-23T00:00:00Z,2008,12,358,2008-05-06,231,FALSE,98.12452428960145
3144631,2009-01-12T00:00:00Z,2009,01,12,2008-04-30,257,FALSE,7.043534248029694
3144687,2009-01-17T00:00:00Z,2009,01,17,2008-05-10,252,FALSE,22.565802287959162
3144689,2009-01-29T00:00:00Z,2009,01,29,2008-05-21,253,FALSE,126.52779306298406
3144903,2009-02-06T00:00:00Z,2009,02,37,2007-05-10,638,FALSE,113.56156094815582
3144903,2009-03-14T00:00:00Z,2009,03,73,2007-05-10,674,FALSE,112.9658961777002
3144932,2009-02-10T00:00:00Z,2009,02,41,2007-05-03,649,TRUE,1.487208159581137
3144622,2009-03-01T00:00:00Z,2009,03,60,2008-04-29,306,FALSE,160.9719763144272
3144637,2009-03-01T00:00:00Z,2009,03,60,2008-05-01,304,TRUE,1.7974948533247117
3144679,2009-05-31T00:00:00Z,2009,05,151,2008-05-19,377,FALSE,38.075301564930314
3144738,2009-09-14T00:00:00Z,2009,09,257,2009-05-10,127,TRUE,0.15012583478551828
3144738,2012-07-15T00:00:00Z,2012,07,197,2009-05-10,1162,FALSE,33.656169905592826
3144854,2009-09-14T00:00:00Z,2009,09,257,2007-04-28,870,FALSE,149.13902767816543
3144854,2010-04-17T00:00:00Z,2010,04,107,2007-04-28,1085,FALSE,52.739536661961125
3108902,2009-09-22T00:00:00Z,2009,09,265,2009-05-10,135,FALSE,177.311248117558
3144733,2009-10-07T00:00:00Z,2009,10,280,2009-05-11,149,FALSE,49.30347951824033
3144733,2010-02-06T00:00:00Z,2010,02,37,2009-05-11,271,FALSE,51.18971466335093
3144733,2010-12-25T00:00:00Z,2010,12,359,2009-05-11,593,FALSE,51.18971466335093
3144733,2016-09-25T00:00:00Z,2016,09,269,2009-05-11,2694,FALSE,52.36700666672569
3144733,2017-08-31T00:00:00Z,2017,08,243,2009-05-11,3034,FALSE,52.36700666672569
3144715,2009-10-12T00:00:00Z,2009,10,285,2008-05-20,510,FALSE,63.84177631703961
3108914,2009-12-04T00:00:00Z,2009,12,338,2009-05-17,201,FALSE,60.29366446087419
3108905,2010-02-01T00:00:00Z,2010,02,32,2009-05-09,268,FALSE,58.96891216724734
3109001,2010-02-06T00:00:00Z,2010,02,37,2009-05-18,264,FALSE,27.975291809687594
3144725,2010-03-07T00:00:00Z,2010,03,66,2009-05-08,303,FALSE,5.410394875215106
3144725,2010-03-21T00:00:00Z,2010,03,80,2009-05-08,317,FALSE,5.410394875215106
3144725,2013-01-10T00:00:00Z,2013,01,10,2009-05-08,1343,TRUE,1.3408887856369576
3144714,2010-06-04T00:00:00Z,2010,06,155,2008-05-17,748,TRUE,0.8917997122848074
3144714,2011-04-01T00:00:00Z,2011,04,91,2008-05-17,1049,TRUE,0.8917997122848074
3109003,2010-07-22T00:00:00Z,2010,07,203,2010-05-03,80,TRUE,2.8181792268331503
3109003,2010-12-18T00:00:00Z,2010,12,352,2010-05-03,229,FALSE,306.27340083565997
3403711,2010-07-24T00:00:00Z,2010,07,205,2010-05-15,70,TRUE,1.2259288258933811
3109036,2010-08-19T00:00:00Z,2010,08,231,2010-05-04,107,TRUE,0.15012583478551828
3109037,2010-09-02T00:00:00Z,2010,09,245,2010-05-06,119,FALSE,82.15508954298195
3109037,2013-02-15T00:00:00Z,2013,02,46,2010-05-06,1016,FALSE,352.48500134674987
3109037,2017-09-28T00:00:00Z,2017,09,271,2010-05-06,2702,FALSE,22.89016472478035
3109037,2017-09-29T00:00:00Z,2017,09,272,2010-05-06,2703,FALSE,22.89016472478035
3109037,2017-10-04T00:00:00Z,2017,10,277,2010-05-06,2708,FALSE,22.89016472478035
3109037,2017-10-13T00:00:00Z,2017,10,286,2010-05-06,2717,FALSE,22.89016472478035
3109037,2017-10-17T00:00:00Z,2017,10,290,2010-05-06,2721,FALSE,22.89016472478035
3109037,2018-02-09T00:00:00Z,2018,02,40,2010-05-06,2836,FALSE,22.89016472478035
3109037,2018-02-12T00:00:00Z,2018,02,43,2010-05-06,2839,FALSE,22.89016472478035
3109037,2018-02-19T00:00:00Z,2018,02,50,2010-05-06,2846,FALSE,22.89016472478035
3109037,2018-02-23T00:00:00Z,2018,02,54,2010-05-06,2850,FALSE,22.89016472478035
3109037,2018-03-04T00:00:00Z,2018,03,63,2010-05-06,2859,FALSE,22.89016472478035
3109037,2018-04-12T00:00:00Z,2018,04,102,2010-05-06,2898,FALSE,22.89016472478035
3109037,2018-05-12T00:00:00Z,2018,05,132,2010-05-06,2928,FALSE,22.89016472478035
3109037,2018-06-14T00:00:00Z,2018,06,165,2010-05-06,2961,FALSE,22.89016472478035
3109037,2018-08-27T00:00:00Z,2018,08,239,2010-05-06,3035,FALSE,22.89016472478035
3109037,2018-09-20T00:00:00Z,2018,09,263,2010-05-06,3059,FALSE,22.89016472478035
3109037,2018-09-27T00:00:00Z,2018,09,270,2010-05-06,3066,FALSE,22.89016472478035
3109037,2018-02-20T00:00:00Z,2018,02,51,2010-05-06,2847,FALSE,23.362335178183546
3109037,2020-09-10T00:00:00Z,2020,09,254,2010-05-06,3780,FALSE,22.812090573171208
3109037,2020-12-14T00:00:00Z,2020,12,349,2010-05-06,3875,FALSE,23.055292708937884
3109037,2021-03-12T00:00:00Z,2021,03,71,2010-05-06,3963,FALSE,23.055292708937884
3109037,2021-04-27T00:00:00Z,2021,04,117,2010-05-06,4009,FALSE,23.061508646836508
3109009,2010-09-26T00:00:00Z,2010,09,269,2010-04-28,151,TRUE,0.7579172008124846
3109009,2010-10-10T00:00:00Z,2010,10,283,2010-04-28,165,TRUE,0.7579172008124846
3109100,2010-10-05T00:00:00Z,2010,10,278,2010-05-08,150,FALSE,81.8534569548482
3109100,2010-12-09T00:00:00Z,2010,12,343,2010-05-08,215,FALSE,317.202504893371
3109094,2010-10-09T00:00:00Z,2010,10,282,2010-05-02,160,TRUE,1.550194235427556
3109011,2010-10-10T00:00:00Z,2010,10,283,2010-05-03,160,TRUE,0.807399561907278
3109011,2010-11-06T00:00:00Z,2010,11,310,2010-05-03,187,TRUE,0.807399561907278
3109011,2010-11-16T00:00:00Z,2010,11,320,2010-05-03,197,TRUE,0.07150017683678159
3109011,2011-01-16T00:00:00Z,2011,01,16,2010-05-03,258,TRUE,0.07150017683678159
3109011,2011-01-29T00:00:00Z,2011,01,29,2010-05-03,271,TRUE,0.07150017683678159
3109011,2011-04-09T00:00:00Z,2011,04,99,2010-05-03,341,TRUE,0.07150017683678159
3109011,2011-05-31T00:00:00Z,2011,05,151,2010-05-03,393,TRUE,0.07150017683678159
3109011,2012-02-11T00:00:00Z,2012,02,42,2010-05-03,649,TRUE,3.4425604831971865
3109011,2012-03-18T00:00:00Z,2012,03,78,2010-05-03,685,TRUE,2.821018428184706
3406229,2010-10-11T00:00:00Z,2010,10,284,2010-05-11,153,FALSE,82.03793988162197
3406179,2010-10-12T00:00:00Z,2010,10,285,2010-05-09,156,TRUE,0.5922228248705954
3406220,2010-10-13T00:00:00Z,2010,10,286,2010-05-09,157,TRUE,0.6819849170153605
3406233,2010-10-22T00:00:00Z,2010,10,295,2010-05-07,168,FALSE,42.456456302750205
3144655,2010-10-23T00:00:00Z,2010,10,296,2008-05-08,898,TRUE,1.4217967700050254
3144655,2010-11-06T00:00:00Z,2010,11,310,2008-05-08,912,TRUE,1.4217967700050254
3144655,2010-11-19T00:00:00Z,2010,11,323,2008-05-08,925,TRUE,1.4217967700050254
3144655,2011-03-12T00:00:00Z,2011,03,71,2008-05-08,1038,TRUE,2.2620004297750747
3144655,2013-03-17T00:00:00Z,2013,03,76,2008-05-08,1774,FALSE,2.916522781974369
3144655,2013-04-07T00:00:00Z,2013,04,97,2008-05-08,1795,FALSE,2.916522781974369
3144655,2013-09-27T00:00:00Z,2013,09,270,2008-05-08,1968,FALSE,2.916522781974369
3144655,2013-11-24T00:00:00Z,2013,11,328,2008-05-08,2026,TRUE,3.182928239220016
3144655,2014-01-03T00:00:00Z,2014,01,3,2008-05-08,2066,TRUE,3.182928239220016
3144655,2014-02-02T00:00:00Z,2014,02,33,2008-05-08,2096,TRUE,3.182928239220016
3144655,2014-04-09T00:00:00Z,2014,04,99,2008-05-08,2162,TRUE,3.182928239220016
3144655,2014-06-14T00:00:00Z,2014,06,165,2008-05-08,2228,TRUE,3.182928239220016
3144655,2014-09-13T00:00:00Z,2014,09,256,2008-05-08,2319,TRUE,3.182928239220016
3144655,2014-10-07T00:00:00Z,2014,10,280,2008-05-08,2343,TRUE,3.182928239220016
3144655,2014-10-23T00:00:00Z,2014,10,296,2008-05-08,2359,TRUE,3.182928239220016
3144655,2014-12-14T00:00:00Z,2014,12,348,2008-05-08,2411,TRUE,3.182928239220016
3144655,2015-01-02T00:00:00Z,2015,01,2,2008-05-08,2430,TRUE,3.182928239220016
3144655,2015-01-11T00:00:00Z,2015,01,11,2008-05-08,2439,TRUE,3.182928239220016
3144655,2015-02-08T00:00:00Z,2015,02,39,2008-05-08,2467,TRUE,3.182928239220016
3144655,2015-04-14T00:00:00Z,2015,04,104,2008-05-08,2532,TRUE,3.182928239220016
3144655,2015-05-18T00:00:00Z,2015,05,138,2008-05-08,2566,TRUE,3.182928239220016
