Ring,Year,Sex,Morph,Rank,Brood_Size,Hatch,Age_days,BCI,Lprev,Tag,Brood_ID,Dead,DateDeath,CauseDeath
3143799,2007,Female,4,1,3,110,37,-10.87928211,1,1,39-2007,NA,NA,NA
3143800,2007,Male,3,2,3,111,36,47.69271069,1,1,39-2007,NA,NA,NA
3143801,2007,Male,4,3,3,118,29,9.278221285,0,1,39-2007,NA,NA,NA
3143802,2007,Female,3,2,4,122,25,158.4943441,0,1,20-2007,NA,NA,NA
3143803,2007,Male,4,3,4,127,20,59.13763491,0,1,20-2007,Yes,2008-02-23T00:00:00Z,NA
3143804,2007,Female,4,1,4,121,26,111.7707035,1,1,20-2007,NA,NA,NA
3143805,2007,Male,3,4,4,131,16,37.17079559,1,1,20-2007,NA,NA,NA
3143806,2007,Female,2,2,3,127,20,-52.836938,0,1,148-2007,NA,NA,NA
3143807,2007,Female,2,1,3,124,23,20.11280485,0,1,148-2007,Yes,2007-11-19T00:00:00Z,NA
3143808,2007,Male,3,3,3,131,16,-42.82920441,0,1,148-2007,NA,NA,NA
3143809,2007,Female,3,1,3,121,26,130.0564562,0,1,158-2007,NA,NA,NA
3143810,2007,Female,4,3,3,125,22,90.99266973,0,1,158-2007,NA,NA,NA
3143811,2007,Female,3,2,3,123,24,156.2710291,0,1,158-2007,NA,NA,NA
3143812,2007,Female,4,1,2,104,43,19.93842389,0,1,19-2007,NA,NA,NA
3143813,2007,Male,4,2,2,109,38,77.90200055,0,1,19-2007,NA,NA,NA
3143814,2007,Female,3,3,4,120,27,98.31138369,0,1,191-2007,NA,NA,NA
3143815,2007,Female,2,2,4,118,29,66.98565903,0,1,191-2007,NA,NA,NA
3143816,2007,Female,2,4,4,127,20,59.3551518,0,1,191-2007,NA,NA,NA
3143817,2007,Female,2,1,4,117,30,100.4983579,NA,1,191-2007,NA,NA,NA
3143818,2007,Female,4,3,3,125,22,131.0434804,0,1,15-2007,Yes,2007-12-31T00:00:00Z,NA
3143819,2007,Male,4,2,3,125,22,139.896875,NA,1,15-2007,NA,NA,NA
3143820,2007,Male,4,1,3,119,28,68.09674346,1,1,15-2007,NA,NA,NA
3143821,2007,Male,3,1,3,111,36,123.6922584,0,1,192-2007,NA,NA,NA
3143822,2007,Male,2,3,3,118,29,193.021217,0,1,192-2007,NA,NA,NA
3143823,2007,Female,2,2,3,113,34,168.8654072,0,1,192-2007,NA,NA,NA
3143824,2007,Male,3,1,3,125,22,116.5886699,1,1,34-2007,NA,NA,NA
3143825,2007,Male,4,2,3,130,17,31.18616684,0,1,34-2007,NA,NA,NA
3143826,2007,Female,4,2,2,130,17,9.514789487,0,1,146-2007,NA,NA,NA
3143827,2007,Male,4,1,2,126,21,96.73076495,0,1,146-2007,NA,NA,NA
3143828,2007,Female,3,2,3,117,30,130.2796157,0,1,41-2007,NA,NA,NA
3143829,2007,Female,4,3,3,125,22,32.97730478,1,1,41-2007,NA,NA,NA
3143830,2007,Female,4,1,3,115,32,-17.85989685,1,1,41-2007,NA,NA,NA
3143831,2007,Female,3,1,2,128,19,-9.856980873,1,1,95-2007,NA,NA,NA
3143832,2007,Female,3,2,2,128,19,89.53367505,0,1,95-2007,NA,NA,NA
3143833,2007,Female,3,2,2,121,27,54.96264004,0,1,47-2007,NA,NA,NA
