"","Year","Releases","L2007","L2008","L2009","L2010","L2011","L2012","L2013","L2014","L2015","L2016","L2017","L2018","L2019","L2020","D2007","D2008","D2009","D2010","D2011","D2012","D2013","D2014","D2015","D2016","D2017","D2018","D2019","D2020"
"1",2007,162,13,6,1,1,1,1,1,0,0,0,0,0,0,0,7,4,1,0,0,0,0,0,0,0,2,0,0,0
"2",2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2009,51,0,0,7,3,4,3,0,0,0,1,1,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0
"4",2010,241,0,0,0,32,13,12,8,7,8,8,6,4,4,4,0,0,0,17,1,1,0,0,1,0,0,0,0,0
"5",2011,98,0,0,0,0,7,10,6,3,6,3,2,2,0,1,0,0,0,0,5,7,3,1,0,0,0,0,0,0
"6",2012,332,0,0,0,0,0,51,18,13,16,11,10,8,8,10,0,0,0,0,0,29,6,0,0,0,0,1,0,1
"7",2013,82,0,0,0,0,0,0,8,7,7,4,4,3,3,5,0,0,0,0,0,0,6,1,1,2,0,0,0,0
"8",2014,296,0,0,0,0,0,0,0,79,72,38,30,18,20,22,0,0,0,0,0,0,0,5,2,5,1,2,1,2
"9",2015,269,0,0,0,0,0,0,0,0,75,51,27,16,19,15,0,0,0,0,0,0,0,0,9,8,5,3,1,0
"10",2016,125,0,0,0,0,0,0,0,0,0,28,14,7,4,5,0,0,0,0,0,0,0,0,0,8,2,0,0,0
"11",2017,288,0,0,0,0,0,0,0,0,0,0,77,27,13,10,0,0,0,0,0,0,0,0,0,0,25,4,1,1
"12",2018,111,0,0,0,0,0,0,0,0,0,0,0,31,12,11,0,0,0,0,0,0,0,0,0,0,0,9,2,0
"13",2019,431,0,0,0,0,0,0,0,0,0,0,0,0,132,84,0,0,0,0,0,0,0,0,0,0,0,0,7,14
"14",2020,237,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,17
